Girokonto;Beispiel-IBAN hier;;;;;;;;;;
Zeitraum:;DD.MM.YYYY – DD.YY.YYYY;;;;;;;;;;
Kontostand vom 17.01.2026:;1.234,56 €;;;;;;;;;;
;;;;;;;;;;;
Buchungsdatum;Wertstellung;Status;Zahlungspflichtige*r;Zahlungsempfänger*in;Verwendungszweck;Umsatztyp;IBAN;Betrag (€);Gläubiger-ID;Mandatsreferenz;Kundenreferenz
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-50;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-0,85;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-51,17;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,98;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-29,14;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,86;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-30,51;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-12,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-60,35;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-65,53;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,09;;;
